id,name
2595,Skylit Midtown Castle
3831,"Whole flr w/private bdrm, bath & kitchen(pls read)"
5121,BlissArtsSpace!
5136,"Spacious Brooklyn Duplex, Patio + Garden"
5203,Cozy Clean Guest Room - Family Apt
5803,"Lovely Room 1, Garden, Best Area, Legal rental"
6848,Only 2 stops to Manhattan studio
6872,Uptown Sanctuary w/ Private Bath (Month to Month)
6990,UES Beautiful Blue Room
7064,"Amazing location! Wburg. Large, bright & tranquil"
7097,Perfect for Your Parents:  Privacy + Garden
7750,2 Furnished bedrooms next to Central Park
7801,Sweet and Spacious Brooklyn Loft
8490,"Maison des Sirenes1,bohemian, luminous apartment"
9357,Midtown Pied-a-terre
9657,Modern 1 BR / NYC / East Village
9704,Spacious 1 bedroom in luxe building
10452,Large B&B Style rooms
10962,"Lovely Room 2; Garden; Best area, Legal"
11943,Country space in the city
12192,ENJOY Downtown NYC!
12343,BEST BET IN HARLEM
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block"
12940,Charming Brownstone 3 - Near PRATT
13121,(E) RIGHT ON BUDGET
13394,Fort Greene brownstone
13808,Blue Room for 2 in Brownstone for $1350 monthly
14290,* ORIGINAL BROOKLYN LOFT *
14314,Greenpoint Place...Has It All!
15220,Best Location in NYC! TIMES SQUARE!
15341,"Bright 1bd Nolita Apt, Doorman, Elevator, Security"
15385,"Very, very cozy place"
15396,Sunny & Spacious Chelsea Apartment
15711,2 bedroom Upper East Side
16326,Comfortable 4-bedroom apt in family house.
16338,Double Room w Private Deck Clinton Hill Best Area
16595,Quiet Full Floor Loft with Home Theater
16821,Large Room in Amazing East Village Apt
16974,SpaHa Loft: Enormous and Bright
17037,Lovely EV Artist's Home
17693,"HARLEM, NYC,STILL WELCOMES YOU!! xx"
17747,BLUE TRIM GUEST HOUSE
18127,Charming East Village One Bedroom Flat
18728,Beautiful Meatpacking District Loft
18961,Cozy Studio in Great Location!
19159,Spacious luminous apt Upper West NYC
19282,"Sunny, Spacious Top Floor Haven"
19812,2 bedroom Williamsburg Apt - Bedford L stop
20717,Room in Brownstone B/Q feet away
20724,Sunny room+Pvte office in huge loft
20913,Charming 1 bed GR8 WBurg LOCATION!
21456,Light-filled classic Central Park
21644,"Upper Manhattan, New York"
21794,COZY QUIET monthly room 4 DOOGLERS!
23135,House On Henry (3rd FLR Suite)
23686,2000 SF 3br 2ba West Village outdoor living house
