Airbnb_id,Host_id,Borough Code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
13925864,58480311,4,40.76128,-73.93141,Entire home/apt,10000,30,28,1,0
22436899,72390391,1,40.77184,-73.98835,Entire home/apt,10000,30,0,1,0
22985168,71733378,4,40.76466,-73.92882,Entire home/apt,10000,72,26,1,88
31219800,172226912,1,40.74931,-73.9783,Shared room,10000,40,11,1,180
39100961,220229838,1,40.76387,-73.97653,Private room,10000,30,0,11,283
39574087,266741420,1,40.71918,-73.99123,Private room,10000,1,0,5,365
48097641,252048159,3,40.5919,-73.94563,Entire home/apt,10000,1,1,1,365
4737930,1235070,1,40.79435,-73.93893,Entire home/apt,9999,30,1,1,0
33621795,257565053,1,40.72031,-73.98813,Private room,9999,30,49,3,358
33622308,257565053,1,40.72031,-73.98813,Private room,9999,30,22,3,358
33622378,257565053,1,40.72031,-73.98813,Private room,9999,30,48,3,358
43021419,240853514,1,40.77357,-73.95748,Entire home/apt,9999,30,1,1,0
4308991,6195809,1,40.7248,-73.98951,Private room,9990,30,9,1,0
20464496,49519069,4,40.70911,-73.81756,Private room,9000,30,0,1,0
9528920,3906464,1,40.71302,-73.98573,Private room,7314,99,6,1,83
28135545,57205301,1,40.72031,-73.98488,Private room,7000,30,0,1,0
2271504,11598359,3,40.68799,-73.9652,Entire home/apt,6500,30,0,1,0
36056808,271248669,1,40.71168,-74.0084,Entire home/apt,6500,180,0,1,365
20654227,100069033,3,40.68311,-73.87951,Entire home/apt,6429,30,4,1,90
21238053,153497815,3,40.68678,-73.91753,Entire home/apt,6143,30,8,1,90
2110145,2151325,1,40.77748,-73.97764,Entire home/apt,6000,30,17,1,358
12520066,66240032,1,40.73121,-73.99497,Entire home/apt,6000,30,0,1,0
48136836,91668054,1,40.78661,-73.96946,Entire home/apt,6000,1,2,1,88
2243699,1483320,1,40.7171,-73.99905,Entire home/apt,5250,30,0,1,0
11863602,22806807,1,40.71611,-74.00887,Entire home/apt,5000,30,1,1,365
46331952,368414381,3,40.5885,-73.94902,Entire home/apt,5000,31,0,3,365
19013613,129474716,1,40.73847,-74.00399,Entire home/apt,4929,30,6,1,90
43122960,216235179,3,40.6995,-73.91913,Entire home/apt,4924,35,0,26,243
34592851,19867664,3,40.67134,-73.94726,Entire home/apt,4000,30,3,1,178
43357832,66125531,1,40.75735,-73.98664,Entire home/apt,4000,1,1,3,365
46465189,375864182,3,40.69116,-73.94067,Entire home/apt,3911,30,0,18,274
20692563,147814925,1,40.73311,-73.99372,Entire home/apt,3900,30,7,1,180
2281142,1427243,1,40.73323,-73.98859,Entire home/apt,3750,30,0,1,0
29964348,2039658,1,40.76461,-73.96662,Entire home/apt,3600,31,0,1,358
44651142,1163318,1,40.74334,-74.00214,Entire home/apt,3557,3,8,2,25
28132121,212484716,1,40.75864,-73.96528,Private room,3500,1,0,10,249
49617481,230670970,1,40.81557,-73.94228,Entire home/apt,3500,30,0,3,269
28132057,212484716,1,40.75697,-73.96508,Private room,3449,1,0,10,269
6702693,8730,1,40.73899,-73.99198,Entire home/apt,3396,4,19,1,63
51246503,39399272,3,40.69058,-73.91496,Entire home/apt,3333,1,0,8,72
43358364,345292086,1,40.73605,-73.97764,Entire home/apt,3286,1,0,1,365
30589636,229458601,1,40.81363,-73.9507,Entire home/apt,3200,90,0,1,365
51848187,90713895,1,40.75792236,-73.98502762,Private room,3159,1,0,7,3
41425572,262985820,1,40.7553,-73.97288,Private room,3087,1,0,11,259
14730708,836168,1,40.78004,-73.98327,Entire home/apt,3000,30,8,10,364
33612951,1556814,1,40.81521,-73.94214,Entire home/apt,3000,30,0,10,269
35704868,3599104,4,40.75384,-73.93869,Shared room,3000,30,1,1,90
43037659,242793278,3,40.58952,-73.9376,Entire home/apt,3000,5,0,2,365
37798575,216235179,3,40.69948,-73.91943,Private room,2946,35,0,26,168
50270422,333057838,3,40.63313,-73.92355,Entire home/apt,2908,1,0,3,365
18616208,55017405,1,40.78006,-73.97667,Entire home/apt,2900,30,0,1,180
18071399,113534805,1,40.74885,-74.00327,Private room,2857,1,0,1,89
32476606,244008821,1,40.73483,-73.99986,Private room,2850,100,0,1,270
40918843,317192469,1,40.73021,-73.98956,Entire home/apt,2850,30,0,1,180
43969268,5309160,1,40.76946,-73.95102,Entire home/apt,2850,1,0,2,90
2274084,11610321,1,40.74215,-73.98018,Entire home/apt,2750,30,0,1,0
4262120,6914968,1,40.76797,-73.98293,Entire home/apt,2695,30,0,1,0
44666838,333057838,3,40.62927,-73.92178,Entire home/apt,2614,1,3,3,270
46597956,376743005,1,40.72174,-73.98737,Private room,2614,1,14,3,165
37961305,71276635,1,40.83386,-73.94208,Shared room,2603,1,0,6,365
44258559,54345639,1,40.8013,-73.93431,Entire home/apt,2600,30,0,1,0
41373193,176950173,1,40.76436,-73.97562,Entire home/apt,2565,7,0,10,0
893413,4751930,1,40.72694,-73.98173,Entire home/apt,2536,30,28,1,7
174966,836168,1,40.7751,-73.98595,Entire home/apt,2500,30,26,10,364
664047,836168,1,40.77493,-73.98732,Entire home/apt,2500,30,59,10,364
5616298,836168,1,40.77277,-73.98571,Entire home/apt,2500,30,9,10,364
14408114,836168,1,40.76456,-73.97876,Entire home/apt,2500,30,4,10,364
14490720,34264721,3,40.58774,-73.95795,Entire home/apt,2500,30,0,1,365
23373090,11844979,3,40.71799,-73.96153,Entire home/apt,2500,1,0,3,101
28075828,117354500,1,40.74043,-73.98528,Private room,2500,30,6,1,177
42528852,202873307,3,40.65146,-74.01321,Entire home/apt,2500,1,2,3,364
21810960,150522833,1,40.751,-73.98527,Entire home/apt,2400,1,24,1,203
28132190,212484716,1,40.7159,-74.0085,Private room,2399,1,0,10,300
13963005,41870118,4,40.71931,-73.83698,Entire home/apt,2350,365,0,1,365
15205915,96098402,1,40.75359,-73.97192,Private room,2299,4,3,7,365
2659183,5907325,1,40.76801,-73.96361,Entire home/apt,2249,3,45,1,102
11240650,25713263,1,40.79097,-73.97797,Entire home/apt,2200,30,8,1,0
45907938,372162877,1,40.74547,-73.99369,Entire home/apt,2200,1,0,1,365
48845751,53288612,1,40.77725,-73.95467,Entire home/apt,2180,3,0,1,336
11495792,60535622,3,40.66378,-73.95155,Entire home/apt,2100,120,0,1,0
37332942,225144151,1,40.73955,-74.00476,Entire home/apt,2100,1,8,1,362
42030455,333057838,3,40.63273,-73.92165,Entire home/apt,2099,1,8,3,270
51984554,392134638,1,40.75210104,-73.99863683,Entire home/apt,2083,1,0,1,365
43741958,176950173,1,40.76476,-73.97472,Entire home/apt,2052,30,0,10,0
41425597,262985820,1,40.7553,-73.97288,Private room,2026,1,0,11,261
2150727,5579700,1,40.73545,-73.98238,Entire home/apt,2000,30,0,1,0
3812328,1470212,1,40.7861,-73.98094,Entire home/apt,2000,30,0,1,365
5649623,836168,1,40.77482,-73.98606,Entire home/apt,2000,30,9,10,364
12967227,71315006,1,40.78663,-73.96983,Entire home/apt,2000,30,0,1,0
15347268,836168,1,40.75455,-73.98123,Entire home/apt,2000,30,4,10,364
17516489,1273890,1,40.8501,-73.93749,Entire home/apt,2000,30,7,2,364
23372850,11844979,3,40.71619,-73.96365,Entire home/apt,2000,1,0,3,177
23855466,179187831,1,40.75204,-73.99248,Entire home/apt,2000,30,0,1,364
25883016,56663545,4,40.72529,-73.88374,Entire home/apt,2000,4,0,1,90
43103592,242793278,3,40.58955,-73.93769,Entire home/apt,2000,30,0,2,365
45705785,61292179,2,40.89802,-73.91187,Entire home/apt,2000,10,0,1,103
48089766,375344103,1,40.74009,-74.00629,Entire home/apt,2000,1,1,2,364
51840189,419849145,1,40.74065755,-73.99105568,Private room,2000,1,0,1,206
1976123,6547579,1,40.72693,-73.98902,Entire home/apt,1999,30,20,1,90
15857259,26556695,1,40.76183,-73.97341,Entire home/apt,1999,1,5,6,269
31019621,26556695,1,40.76212,-73.97377,Entire home/apt,1999,1,1,6,265
46213282,303719667,1,40.75152,-73.97227,Entire home/apt,1999,3,0,3,3
46511472,7853599,1,40.77978,-73.98493,Private room,1999,30,0,1,365
47994751,24761711,3,40.64596,-73.97462,Entire home/apt,1995,2,3,4,137
35481836,232557023,1,40.73957,-73.98627,Entire home/apt,1975,30,9,1,337
47815740,384249346,1,40.81489,-73.94507,Entire home/apt,1966,30,0,5,365
37828926,1261480,1,40.80656,-73.94986,Private room,1950,7,0,8,180
47047419,380290574,1,40.77713,-73.95536,Entire home/apt,1950,3,6,1,309
49974631,343195053,4,40.77806,-73.77248,Entire home/apt,1938,3,5,1,361
1301321,2214774,1,40.73424,-74.00532,Entire home/apt,1899,30,18,1,0
46464801,375864182,3,40.69195,-73.94266,Entire home/apt,1858,30,0,18,274
50544821,406790259,1,40.75734,-73.99388,Private room,1834,3,3,39,343
43624173,292219806,3,40.69554,-73.97521,Entire home/apt,1832,30,0,13,0
43624183,292219806,3,40.69735,-73.97371,Entire home/apt,1832,30,0,13,0
49011007,5615582,1,40.75265,-73.98454,Private room,1823,1,0,15,308
2261367,10416706,3,40.57601,-74.01072,Entire home/apt,1821,2,10,1,256
26496505,38920716,4,40.70635,-73.74056,Entire home/apt,1800,31,224,1,89
47421177,109270187,1,40.74095,-73.99123,Entire home/apt,1800,1,11,1,363
49463104,202873307,3,40.65024,-74.01111,Entire home/apt,1793,1,1,3,364
43621244,292219806,3,40.6971,-73.97367,Entire home/apt,1773,30,2,13,31
47745532,384249346,1,40.81496,-73.94381,Entire home/apt,1770,30,0,5,31
5131879,26529661,3,40.71284,-73.94679,Entire home/apt,1763,60,0,1,0
34997894,263670476,3,40.63335,-74.02893,Entire home/apt,1750,30,0,1,365
18935359,23234988,4,40.75125,-73.80735,Entire home/apt,1643,14,0,6,324
2284454,11668649,1,40.76904,-73.95435,Entire home/apt,1600,30,0,1,0
6574595,909577,3,40.71201,-73.96139,Private room,1600,1,2,3,337
7380251,38661692,3,40.68948,-73.95099,Private room,1600,30,0,1,0
22653782,153156992,1,40.72368,-74.00409,Entire home/apt,1600,30,16,1,145
41720653,285481439,1,40.72174,-74.0041,Entire home/apt,1600,30,4,3,365
45448385,12028820,1,40.76719,-73.95874,Entire home/apt,1600,3,11,1,262
51617128,165317372,3,40.67962275,-73.89353357,Entire home/apt,1600,1,1,2,363
51916846,419867541,1,40.7602629,-73.96243975,Entire home/apt,1599,30,0,1,364
50415789,406790259,1,40.75565,-73.99394,Private room,1589,3,0,39,342
50524516,406790259,1,40.75741,-73.99364,Private room,1589,3,2,39,327
