hotel_id,name,city,postal_code,latitude,longitude,star_rating,high_rate,low_rate,address_id
269955,Hilton Garden Inn Albany/SUNY Area,Albany,12206,42.68751,-73.81643,3,154.0272,124.0216,124
113431,Courtyard by Marriott Albany Thruway,Albany,12206,42.68971,-73.82021,3,179.01,134,125
108151,Radisson Hotel Albany,Albany,12205,42.7241,-73.79822,3,134.17,84.16,126
254756,Hilton Garden Inn Albany Medical Center,Albany,12208,42.65157,-73.77638,3,308.2807,228.4597,127
198232,CrestHill Suites SUNY University Albany,Albany,12206,42.68873,-73.81854,3,169.39,89.39,128
125200,The Desmond Hotel Albany,Albany,12211,42.72874,-73.79807,3.5,189.0266,153.0644,129
109728,Ramada Plaza Albany,Albany,12206,42.68031,-73.78444,3,158.6321,89.036,130
235037,Hampton Inn & Suites Albany-Downtown,Albany,12210,42.65334,-73.75142,2.5,225.47,224.47,131
106464,Albany Marriott,Albany,12205,42.72111,-73.80036,3.5,158.8856,128.9077,132
106922,Best Western Sovereign Hotel - Albany,Albany,12203,42.67807,-73.82819,3,139.0244,78.3255,133
111647,Express Inn & Suites,Albany,12205,42.70959,-73.82096,2.5,130.34,120.34,134
113084,Hilton Albany,Albany,12207,42.65082,-73.75377,3.5,294.32,199.32,135
118602,Holiday Inn Express Albany Downtown,Albany,12207,42.6456,-73.74992,2.5,135.0627,100.0442,136
437296,Residence Inn Albany Washington Avenue,Albany,12203,42.6931,-73.84938,3,189.16,179.16,137
122051,Courtyard by Marriott Albany Airport,Albany,12205,42.72231,-73.80328,3,174,119.01,138
252452,"Cocca's Inn & Suites Wolf Rd, Albany Airport",Albany,12205,42.70898,-73.82207,2,132.65,60.45,139
134751,Days Inn and Suites Albany,Albany,12205,42.7184,-73.83377,2,190.45,70.45,140
117936,Howard Johnson Inn - Albany,Albany,12205,42.71913,-73.83459,1.5,70.24,51.24,141
119964,Hampton Inn Albany-Western Ave/University Area,Albany,12203,42.68031,-73.8353,2.5,144.41,124.41,142
153579,TownePlace Suites by Marriott Albany University Area,Albany,12206,42.68674,-73.8151,2.5,179.08,119.07,143
324138,Travelodge Inn And Suites Albany,Albany,12205,42.7119,-73.81709,2.5,74.43,54.43,144
127178,Red Roof Inn Albany Airport,Albany,12205,42.72398,-73.80098,2,69.99,65.22,145
205279,Best Western Albany Airport Inn,Albany,12205,42.72184,-73.80241,3,115.34,86.34,146
111978,Hampton Inn Albany-Wolf Road (Airport),Albany,12205,42.72441,-73.79661,2.5,139,84.1151,147
250526,Days Inn Albany SUNY,Albany,12203,42.67816,-73.82843,2,180.22,76.63,148
268158,Homewood Suites by Hilton Albany,Albany,12205,42.72519,-73.79819,3,194.3,179.3,149
130527,Extended Stay America - Albany - SUNY,Albany,12206,42.68799,-73.81733,2.5,95.0707,90.0567,150
261882,SpringHill Suites by Marriott Albany-Colonie,Albany,12205,42.70373,-73.81575,3,189.3,161.3,151
127566,Quality Inn Central,Albany,12205,42.71977,-73.83534,2.5,99.38,89,152
125498,Econo Lodge Colonie Center Mall,Albany,12205,42.7195,-73.83502,2,65.9995,60.0006,153
275981,TownePlace Suites by Marriott Albany Downtown/Medical Center,Albany,12209,42.64651,-73.77209,2.5,139.06,129.06,154
150421,Fairfield Inn by Marriott Albany University Area,Albany,12206,42.68676,-73.81511,2.5,149.33,139.33,155
239994,Motel 6 - Albany Airport,Albany,12205,42.71784,-73.83317,1.5,50.47,45.47,156
458738,"Motel 6 Albany, New York",Albany,12206,42.67972,-73.78295,2,58.99,49.99,157
538343,Home2 Suites by Hilton Albany Airport/Wolf Rd,Albany,12205,42.71852,-73.80022,2.5,164.42,123.42,158
467917,Staybridge Suites Albany Wolf Rd-Colonie Center,Albany,12205,42.71138,-73.81812,3,159.085,119.0063,159
480979,Fairfield Inn & Suites by Marriott Albany Downtown,Albany,12207,42.64955,-73.75223,2.5,149.4,139.4,160
539733,Renaissance Albany Hotel,Albany,12207,42.65077,-73.75591,3.5,329.0349,229.0411,161
573120,Red Carpet Inn & Suites - Albany Airport,Albany,12205,42.71668,-73.83046,2.5,62.9948,60.0006,162
255460,Gallets House B&B,Allegany,14706,42.07667,-78.49657,2.5,140.3,139.3,163
449674,Tailwater Lodge,Altmar,13302,43.51379,-76.00504,3,129.0155,129,164
231177,Homewood Suites by Hilton Buffalo/Amherst,Amherst,14226,42.9824,-78.79638,3,239.1,177.85,165
116591,DoubleTree by Hilton Hotel Buffalo - Amherst,Amherst,14226,42.99028,-78.79224,3.5,160.45,159.45,166
203763,Comfort Inn University,Amherst,14226,42.99059,-78.79215,2.5,87.25,68.04,167
127175,Red Roof Inn PLUS+ University at Buffalo - Amherst,Amherst,14226,42.98985,-78.79244,2.5,80.99,79.99,168
269877,Residence Inn Buffalo Amherst,Amherst,14221,42.99139,-78.78401,3,140.035,139.035,169
106439,Buffalo Marriott Niagara,Amherst,14221,42.98891,-78.79161,3.5,209.09,127.07,170
136100,Extended Stay America - Buffalo - Amherst,Amherst,14228,43.00567,-78.81827,2.5,75.67,65.17,171
436980,Staybridge Suites Buffalo-Amherst,Amherst,14228,42.99702,-78.7998,3,290.45,136.45,172
276923,Courtyard by Marriott Buffalo Amherst/University,Amherst,14221,42.97846,-78.7808,3,154.32,129.32,173
143109,Sleep Inn,Amherst,14228,43.00635,-78.81913,2,85.5604,72.0492,174
458792,Motel 6 Buffalo - Amherst,Amherst,14226,42.99072,-78.80194,2,55.047,52.0082,175
152226,Rodeway Inn & Suites,Amherst,14228,43.00753,-78.82217,1.5,58.81,46.02,176
364655,University Manor Inn,Amherst,14226,42.95907,-78.8151,2,109.99,79.99,177
498900,Hyatt Place Buffalo/Amherst,Amherst,14226,42.95934,-78.76993,3,224.17,199.67,178
312059,Candlewood Suites Buffalo - Amherst,Amherst,14226,42.99032,-78.79228,2.5,150.37,94.37,179
208593,Super 8 - Amsterdam,Amsterdam,12010,42.92563,-74.20226,2,71.9986,67.0047,180
562127,Knights Inn Amsterdam,Amsterdam,12010,42.92894,-74.2007,2.5,99.0099,59.006,181
433086,Comfort Inn,Apalachin,13732,42.0611,-76.1436,2.5,81.42,80.42,182
233290,Quality Inn Binghamton West,Apalachin,13732,42.05989,-76.14391,2.5,71.4,70.4,183
226561,Ardsley Acres Hotel Westchester,Ardsley,10502,41.00869,-73.85151,2,101.35,100.35,184
106923,La Quinta inn & Suites Armonk Westchester County Airport,Armonk,10504,41.11965,-73.70825,2.5,100.45,95.45,185
252608,Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,Astoria,11103,40.76791,-73.90563,2.5,169.35,159.35,186
224415,"Super 8 Long Island City, LGA Hotel",Astoria,11106,40.76679,-73.93348,2,211.0229,102.0041,187
515540,Stewart House at the Athens Hotel,Athens,12015,42.25984,-73.808,3,349.0528,249.0377,188
410019,Hilton Garden Inn Auburn,Auburn,13021,42.93311,-76.56947,3,139.46,109.46,189
124395,Days Inn Auburn Fingerlakes,Auburn,13021,42.92832,-76.56631,2,74.33,70.33,190
201347,Auburn Inn,Auburn,13021,42.93204,-76.57378,2,75.48,65.48,191
107975,Holiday Inn Auburn-Finger Lakes Region,Auburn,13021,42.93461,-76.56636,3,174.45,143.45,192
538682,Skaneateles Suites,Auburn,13152,42.94288,-76.46947,2.5,225.08,150.06,193
634158,Inn at the Finger Lakes,Auburn,13021,42.93424,-76.56229,2.5,109.41,71.41,194
259087,The Red Mill Inn,Baldwinsville,13027,43.15613,-76.33204,2.5,139.18,59.19,195
195601,Microtel Inn & Suites by Wyndham Baldwinsville/Syracuse,Baldwinsville,13027,43.15128,-76.34533,2,80.44,59.49,196
484688,Baldwinsville Bed and Breakfast,Baldwinsville,13027,43.16099,-76.3338,3.5,120.17,119.17,197
276724,Roosevelt Inn And Suites,Ballston Spa,12020,43.02713,-73.79237,2.5,389.22,327.55,198
538573,Catskill Mountains Resort,Barryville,12719,41.50764,-74.92298,2,223.4838,170.6404,199
218706,Hampton Inn Batavia,Batavia,14020,43.02006,-78.19425,2.5,129.38,89.38,200
177921,Best Western Crown Inn & Suites,Batavia,14020,43.01656,-78.19554,2.5,79.99,62.99,201
411011,Holiday Inn Express Hotel & Suites Batavia - Darien Lake,Batavia,14020,43.01978,-78.19434,2.5,114.47,94.47,202
137866,Comfort Inn,Batavia,14020,43.021,-78.19271,2.5,74.31,74,203
229344,La Quinta Inn & Suites Batavia,Batavia,14020,43.01609,-78.19222,2.5,89.38,79.38,204
149424,Quality Inn & Suites Palm Island Indoor Waterpark,Batavia,14020,43.01639,-78.1941,3,74.31,73.31,205
209876,Red Roof Inn Batavia,Batavia,14020,43.01609,-78.19231,2,64.48,63.48,206
201529,Super 8 Batavia E Of Darien Lake Theme Park,Batavia,14020,43.01459,-78.19207,2,107.99,57.99,207
128681,Days Inn Batavia,Batavia,14020,43.01458,-78.19207,2,90.15,51.16,208
260324,Microtel Inn & Suites by Wyndham Bath,Bath,14810,42.3396,-77.33433,2.5,77.15,57,209
201355,Super 8 Bath Hammondsport Area,Bath,14810,42.33619,-77.32942,2,62,52,210
109196,Days Inn Bath Hammondsport,Bath,14810,42.33616,-77.32937,2,65.41,55.41,211
224895,Budget Inn Bath,Bath,14810,42.33657,-77.33035,2,55,52,212
427232,Bay Shore Inn,Bay Shore,11706,40.73222,-73.27663,1.5,98.7217,97.7217,213
207012,Travelodge Bay Shore Long Island,Bay Shore,11706,40.72732,-73.23138,1.5,180.0228,106.268,214
220355,Adria Hotel And Conference Center,Bayside,11361,40.76179,-73.75974,3,180.15,160,215
130161,Anchor Inn,Bayside,11361,40.76076,-73.76612,2,185.53,159.03,216
115172,Best Western Queens Gold Coast,Bayside,11361,40.76166,-73.76059,2.5,165.4,155.4,217
566299,The Roundhouse,Beacon,12508,41.50252,-73.96249,3.5,190.44,189.44,218
350825,Bellerose Inn,Bellerose,11426,40.72656,-73.71558,2,100,99,219
343306,SpringHill Suites by Marriott Long Island Brookhaven,Bellport,11713,40.80858,-72.94766,3,139.0174,119.0164,220
669535,Maple Springs Lake Side Inn,Bemus Point,14712,42.19313,-79.41793,3,150.48,149.48,221
261411,Extended Stay America - Long Island - Bethpage,Bethpage,11714,40.76001,-73.49987,2.5,115.46,105.46,222
433987,Motel 6 Binghamton,Binghamton,13905,42.14234,-75.90366,2,65.99,55.99,223
107922,Holiday Inn Binghamton - Downtown (Hawley St.),Binghamton,13901,42.09747,-75.91485,3,126.4,97.4,224
341158,DoubleTree by Hilton Hotel Binghamton,Binghamton,13901,42.10091,-75.91465,3,159.38,105.38,225
169615,Fairfield Inn by Marriott Binghamton,Binghamton,13905,42.13034,-75.90583,2.5,110.0159,109.0159,226
112292,Comfort Inn Binghamton,Binghamton,13905,42.14164,-75.90375,2.5,124.99,119.99,227
109003,Econo Lodge Inn And Suites,Binghamton,13905,42.12534,-75.9092,2,71.34,70.34,228
201389,Red Roof Inn Binghamton North,Binghamton,13905,42.12453,-75.90976,2,69.99,65.6,229
486055,Park House Bed and Breakfast,Binghamton,13905,42.10901,-75.94552,3,110.44,95.44,230
619673,Microtel Inn & Suites By Wyndham Binghamton,Binghamton,13905,42.1189,-75.94541,2.5,169.33,122.4,231
132213,Econo Lodge South,Blasdell,14219,42.78987,-78.81782,2,66,54.4423,232
242093,La Quinta Inn & Suites Islip-MacArthur Airport,Bohemia,11716,40.77988,-73.09552,2.5,239.16,145.01,233
479839,Lakeland Inn,Bohemia,11716,40.78494,-73.11376,2,80,73.19,234
685044,Highlands Castle,Bolton Landing,12814,43.56455,-73.66439,,0,0,235
127173,Red Roof Inn Buffalo - Niagara Airport,Bowmansville,14026,42.94902,-78.69399,2,69.99,60.43,236
150010,Days Inn Brewerton/Syracuse/Airport,Brewerton,13029,43.23269,-76.1336,2.5,127.11,65.46,237
482259,Topping Rose House,Bridgehampton,11932,40.9378,-72.30069,4.5,995.39,295.39,238
448735,Playland Motel,Broad Channel,11693,40.5874,-73.81247,3,249.46,129.46,239
173729,Dollingers Inn & Suites,Brockport,14420,43.19443,-77.94395,2.5,140.33,85.33,240
422144,"Hampton Inn Brockport, NY",Brockport,14420,43.19433,-77.94397,2.5,129.43,107.43,241
492714,Econo Lodge Brockport,Brockport,14420,43.19835,-77.94608,2,70.48,65.48,242
438964,Opera House Hotel,Bronx,10455,40.81531,-73.91589,3,209.47,169.47,243
428137,Rodeway Inn Bronx Zoo,Bronx,10467,40.87052,-73.87789,2,171.34,170.34,244
169333,Ramada Bronx,Bronx,10475,40.87979,-73.83187,3,241.1339,140.2387,245
269318,Days Inn Bronx Near Stadium,Bronx,10451,40.82687,-73.91176,2,184.0327,126.6667,246
217343,Howard Johnson Express Inn Bronx,Bronx,10460,40.83957,-73.88151,2,145.45,123.45,247
245493,Bronx Guesthouse,Bronx,10466,40.89192,-73.85267,2,202.3,151.725,248
393691,Sheridan Hotel,Bronx,10459,40.83114,-73.88481,2,198.39,169.39,249
466093,Super 8 Bronx,Bronx,10459,40.8277,-73.8919,2,94.09,93.09,250
487266,Residence Inn New York The Bronx At Metro Center Atrium,Bronx,10461,40.84958,-73.84363,3,250.12,249.12,251
567182,"Umbrella Hotel, An Ascend Hotel Collection Member",Bronx,10455,40.81885,-73.91467,2.5,249.38,199.38,252
339951,Sheraton Brooklyn New York Hotel,Brooklyn,11201,40.6916,-73.98436,4,409.1485,259.0916,253
348082,Best Western Plus Arena Hotel,Brooklyn,11216,40.67829,-73.94857,2.5,150.24,114.25,254
370872,Aloft New York Brooklyn,Brooklyn,11201,40.69172,-73.98435,3,509.46,249.46,255
272697,NU Hotel Brooklyn,Brooklyn,11201,40.68891,-73.98897,3.5,299.34,273.34,256
400022,Hotel BPM - Brooklyn New York,Brooklyn,11232,40.6565,-74.0035,3.5,170.19,169.19,257
406834,McCarren Hotel & Pool,Brooklyn,11249,40.721,-73.95543,4,575.41,330.41,258
