hotel_property_id,Postcode,owner_id,Borough Code,Latitude,Longitude,address_id
1,10038,11,1,40.710764,-74.007708,1
2,10013,35,1,40.716114,-74.00737,2
3,10002,4,1,40.719454,-73.98956,3
4,10013,82,1,40.725616,-74.005253,4
5,10013,105,1,40.725616,-74.005253,4
6,10014,182,1,40.736068,-74.004399,5
7,10001,64,1,40.753281,-73.998145,6
8,10001,27,1,40.751916,-73.994857,7
9,10018,28,1,40.755827,-73.99238,8
10,10001,9,1,40.746553,-73.991761,9
11,10001,216,1,40.746635,-73.988491,10
12,10018,53,1,40.751114,-73.985025,11
13,10018,36,1,40.750864,-73.98439,12
14,10018,95,1,40.751424,-73.983798,13
15,10003,71,1,40.738865,-73.98986,14
16,10016,45,1,40.744269,-73.985518,15
17,10016,54,1,40.743791,-73.983237,16
18,10036,110,1,40.757268,-73.983854,17
19,10036,125,1,40.759293,-73.982854,18
20,10019,112,1,40.762218,-73.978742,19
21,10019,205,1,40.762218,-73.978742,19
22,10019,106,1,40.764455,-73.977532,20
23,10019,208,1,40.764953,-73.982705,21
24,10019,65,1,40.764521,-73.980773,22
25,10019,197,1,40.764928,-73.980752,23
26,10019,134,1,40.764928,-73.980752,23
27,10019,211,1,40.764928,-73.980752,23
28,10019,108,1,40.764928,-73.980752,23
29,10019,72,1,40.764928,-73.980752,23
30,10019,210,1,40.764928,-73.980752,23
31,10019,190,1,40.764928,-73.980752,23
32,10019,189,1,40.764521,-73.980773,22
33,10019,68,1,40.764521,-73.980773,22
34,10019,103,1,40.764521,-73.980773,22
35,10019,145,1,40.764521,-73.980773,22
36,10019,83,1,40.764521,-73.980773,22
37,10019,107,1,40.764521,-73.980773,22
38,10019,152,1,40.768434,-73.986956,24
39,10023,50,1,40.768529,-73.981588,25
40,10023,50,1,40.768529,-73.981588,25
41,10023,116,1,40.768529,-73.981588,25
42,10023,79,1,40.768529,-73.981588,25
43,10023,78,1,40.774123,-73.982229,26
44,10023,117,1,40.774123,-73.982229,26
45,10023,129,1,40.774123,-73.982229,26
46,10023,191,1,40.774123,-73.982229,26
47,10023,179,1,40.774386,-73.983399,27
48,10023,113,1,40.774386,-73.983399,27
49,10023,201,1,40.774386,-73.983399,27
50,10023,90,1,40.774386,-73.983399,27
51,10023,196,1,40.774386,-73.983399,27
52,10023,177,1,40.774386,-73.983399,27
53,10023,99,1,40.774386,-73.983399,27
54,10023,49,1,40.774386,-73.983399,27
55,10023,118,1,40.774386,-73.983399,27
