OWNER_NAME,owner_id
"11 WEST 51 REALTY, LLC",0
1107 D LLC,1
"111 EAST 48TH STREET HOLDINGS, LLC",2
117 WEST 79TH OWNER LLC,3
"119 ORCHARD PROPERTY, INC.",4
1199 INVESTORS LLC,5
120 OSBORN HOLDINGS LLC,6
1325 ATLANTIC REALTY LLC,7
135TH AVENUE JFK PROPERTY LLC,8
140 WEST 28 OWNER LLC,9
1412 PITKIN LLC,10
143 FULTON STREET DEVELOPMENT OWNER LLC,11
144 INVESTORS LLC,12
"155 WEST 66, LLC",13
18-22 WEST 56TH STREET LLC,14
"2001 FRANKEL FAMILY TRUST DATED SEPTEMBE R 4, 2001",15
205 WEST 135 LLC,16
218 ST NY LLC,17
223 WEST 46TH STREET LLC,18
23-20 JACKSON REALTY ASSOCIATES,19
232 SEIGEL ACQUISITION LLC,20
2320 CONEY LLC,21
"235 HOTEL, LLC",22
2722 FULTON LLC,23
292 N8 OWNER LLC,24
3118 LINDEN INC,25
31ST ASTORIA HOLDINGS LLC,26
"325 WEST 33RD LLC, A DELAWARE LIMITED LI ABILITY CO",27
338 WEST 39TH STREET LLC,28
38-26 11TH STREET LLC,29
39 AINSLIE PROPERTY OWNER LLC,30
425 E179 STREET LLC,31
"44TH STREET HOTEL OWNER, L.P.",32
4761 WHITE PLAINS LLC,33
5 BAY STREET PHASE 3 LLC,34
5444 ASSOCS.,35
54M 33W37 LLC,36
559 DEVELOPMENT LLC,37
57 SHEFFIELD LLC,38
61 BOND STREET GROUND OWNER LLC,39
701 ELTON AVENUE LLC,40
752 EAST TREMONT AVERLT,41
822 MCDONALD AV  LLC,42
823 39TH STREET BROOKLYN LLC,43
842 ENTERPRISE INC,44
"88 MADISON HOTEL FEE OWNER, LLC",45
97 COLUMBIA HEIGHTS LLC,46
AB FULTON NOMINEE LLC,47
"AHN, DAVID",48
AMSTUTZ FAMILY IRREVOCABLE TRUST DATED 0 3/19/2010,49
ANGEL OVERSEAS LTD,50
ANMOL REALTY LLC,51
ASAP DITMARS LLC,52
ASHFORD NEW YORK LP,53
AUEVILLA HOLDINGS LLC,54
AXIT CAPITAL LLC,55
"B. HOLDCO, LLC",56
BAMSAG BUILDERS LLC,57
"BARKER, PAUL",58
BARNARD COLLEGE,59
"BEACH 22, LLC",60
BEARD STREET ACQUISITION LLC,61
"BIRNBACH, PAWEL",62
"BOGUE, MICHAEL",63
BOP NW II LLC,64
"BOVE, JAMES J",65
BRUCE NEWBERG AS TRUSTEE,66
CA PLAZA LLC,67
"CALVIN, TULIN",68
CBWB BKLN LLC,69
CHARLES AND CAROL STOLAR REVOCABLE TRUST,70
CHOLLA 893 LLC,71
CIBINIC FAMILY HOLDINGS LLC,72
CLIPPER 107 CH LLC,73
CONNOLLY FAMILY REVOCABLE TRUST,74
"CORDELL, DORIS F",75
CROWN MOTOR INN LLC,76
CUCS HOUSING DEVELOPMENT FUND CORPORATIO N IV,77
"DAUGHERTY, WILLIAM M",78
"DEVELOPMENT FOCUS, INC.",79
"DKE REALTY CORP.,",80
"DU RIVAGE AS TRUSTEE, HOLLY MARIE",81
DUNDEE INVEST LLC,82
"DURIVAGE , MARK",83
EASTERN DIVISION LLC,84
EBF TILDEN AVENUE LLC,85
"EDWIN L. SOLOT, JR., AS TRUSTEE",86
EHS DII GLS 1 LLC,87
"ERDBERG, ADAM",88
"FELDMAN, IRIS F",89
"FELSENTHAL, ROBERT",90
FIFTH & FIFTY FIFTH RESIDENCE CLUB,91
"FISCHER, L. RICHARD",92
FLATBUSH RHO HOTEL LLC,93
FONGTAR REALTY INC.,94
FORTUNA FIFTH AVE LLC,95
"FREEMAN, JOYCE ANN",96
FULTON SCG DEVELOPMENT LLC,97
"GHP WATER STREET, LLC",98
"GOLDMAN REVOCABLE LIVING TRUST, U/A DATE D MAY 4, 2",99
GRIFFON GANSEVOORT HOLDINGS LLC,100
