Claim Number,Restaurant Name,Borough Code,Address1,ZIPCODE,GRADE
50086079,SUNSHINE PARADISE,Brooklyn,UTICA AVENUE,11203,N
40925478,BELLA VIA,Queens,VERNON BOULEVARD,11101,A
40608746,KANA TAPAS BAR & RESTAURANT,Manhattan,SPRING STREET,10013,A
50094131,ESSEX RESTAURANT,Manhattan,RIVINGTON STREET,10002,C
41447856,WILD,Manhattan,HUDSON STREET,10014,A
50017187,SUBWAY,Queens,LIBERTY AVE,11435,A
41551369,CHA PA'S VIETNAMESE EATERY,Manhattan,WEST   52 STREET,10019,B
50005883,EIM KHAO MUN KAI,Queens,BROADWAY,11373,A
41322588,COLD STONE CREAMERY,Staten Island,RICHMOND AVENUE,10314,A
50061258,COR THAI YOU,Brooklyn,CORTELYOU ROAD,11226,B
41650717,ANDY'S CAFETERIA,Brooklyn,CLARKSON AVENUE,11203,A
40823209,COMIC STRIP LIVE,Manhattan,2 AVENUE,10028,B
50105961,KAHVE,Manhattan,WEST   51 STREET,10019,A
50047407,EAT PRODUCTIONS,Brooklyn,BEDFORD AVENUE,11205,C
41693861,ACE BAGEL & DELI,Queens,NORTHERN BOULEVARD,11362,A
50066094,PS KITCHEN,Manhattan,WEST   48 STREET,10036,A
50002039,KABIR'S BAKERY,Brooklyn,FOSTER AVENUE,11230,P
50013521,E E BAKERY,Brooklyn,20 AVENUE,11204,A
41350559,"BURGER KING, POPEYES",Bronx,METROPOLITAN OVAL,10462,A
50084441,CAVA GRILL,Manhattan,BROADWAY,10018,A
50065695,MR. Q'S,Bronx,WILLIAMSBRIDGE ROAD,10461,B
40366230,DON PEPPE,Queens,LEFFERTS BOULEVARD,11420,A
50078153,FRESH TWIST,Staten Island,NEW DORP LANE,10306,A
41543951,MABLE'S SMOKEHOUSE AND BANQUET HALL,Brooklyn,BERRY STREET,11249,A
41463477,DUNKIN & BASKIN ROBBINS,Staten Island,FOREST AVENUE,10310,A
41515681,KEE WANG RESTAURANT,Bronx,VALENTINE AVENUE,10457,A
50100405,MUDFLOW,Brooklyn,8 AVENUE,11220,A
50103792,MISSION BUENA NUTRICION,Queens,103RD ST,11369,N
41383250,OSAKA JAPANESE FUSION,Queens,BROADWAY,11106,A
41418978,BAGEL EXPRESS III,Manhattan,3 AVENUE,10010,A
50038896,BOISHAKHI,Queens,36TH AVE,11106,A
50041609,NEW VEGETARIAN PALATE,Brooklyn,WASHINGTON AVENUE,11238,A
50019198,NOODLE HOUSE,Queens,MARATHON PKWY,11362,A
40756287,BARBARESCO,Manhattan,LEXINGTON AVENUE,10065,A
41305175,PANERA BREAD,Staten Island,VETERANS ROAD WEST,10309,A
50015953,GREEK GRILL,Queens,CROSSBAY BLVD,11414,A
50046762,PASSAGE,Queens,30TH AVE,11103,A
50042441,MCDONALD'S,Brooklyn,NOSTRAND AVENUE,11210,A
50087615,JAPAS NY,Manhattan,EAST   38 STREET,10016,A
50056312,PUNTO SABROSO BAKERY,Brooklyn,FULTON STREET,11208,A
41428295,FACULTY HOUSE,Manhattan,MORNINGSIDE DRIVE,10027,A
41701618,FELICE,Manhattan,GOLD STREET,10038,A
41030615,SERAFINA BROADWAY,Manhattan,WEST   55 STREET,10019,A
41509875,LAKRUWANA SRI LANKA UNDER ONE ROOF,Staten Island,BAY STREET,10304,A
50113104,BLU SEAFOOD RESTAURANT & BAR,Queens,MERRICK BLVD,11413,N
50096025,L'ACCOLADE,Manhattan,BLEECKER STREET,10014,N
50093379,POPEYES,Manhattan,DYCKMAN STREET,10040,A
50047783,CAPPONE'S SALUMERIA,Manhattan,NEW YORK PLAZA,10004,A
41362530,H&H BAGELS,Queens,JFK INTL. AIRPORT,11430,A
50068377,HELL'S CHICKEN,Manhattan,10 AVENUE,10036,A
41487738,MEXICAN RESTAURANT,Manhattan,LEXINGTON AVENUE,10029,B
50041641,NARUTO RAMEN,Manhattan,BROADWAY,10025,A
50082152,PELICANA CHICKEN,Manhattan,WEST   32 STREET,10001,A
50113322,3 TIMES,Manhattan,BROADWAY,10003,N
50048304,13106 GRAND EVERGREEN CHINESE RESTAURANT,Queens,ROCKAWAY BLVD,11420,A
41405368,DYLAN MURPHY'S,Manhattan,3 AVENUE,10028,A
41385576,AU BON PAIN,Queens,76 AVENUE,11004,A
50034294,PANADERIA LA AUTENTICA,Brooklyn,86 STREET,11214,A
41406255,"KFC, TACO BELL",Manhattan,BROADWAY,10031,A
41269792,PRETZEL KING,Queens,165 STREET,11432,A
50086207,ANYTIME KARAOKE,Manhattan,WEST   32 STREET,10001,A
50014098,DUNKIN DONUTS,Brooklyn,BROADWAY,11211,A
50002902,ELI'S ESSENTIALS,Manhattan,LEXINGTON AVENUE,10028,A
50018553,TEXAS FRIED CHICKEN,Manhattan,8 AVENUE,10026,A
50057481,FINE & RARE,Manhattan,EAST   37 STREET,10016,A
50013579,THAI BASIL,Brooklyn,NOSTRAND AVENUE,11229,A
41677944,CONRAD FAMOUS BAKERY,Brooklyn,UTICA AVENUE,11213,B
50070808,DOWNEY'S BAR & GRILL,Bronx,MOSHOLU AVENUE,10471,A
50015204,HOOTERS,Manhattan,WEST   33 STREET,10001,A
50092940,HARLEM WINE ROOM,Manhattan,BROADWAY,10031,B
50093478,AMAR PERUVIAN KITCHEN,Queens,AUSTIN ST,11375,A
50075182,NEW YORK CITY BAGEL COFFEE HOUSE,Queens,30TH AVE,11103,A
50074533,THE LEIF BAR,Brooklyn,5 AVENUE,11220,C
50037537,5TH AVENUE ASIAN TASTE RESTAURANT,Brooklyn,5 AVENUE,11215,A
41212798,CHOKOLAT PATISSERIE,Manhattan,BROADWAY,10027,A
50079294,KENNEDY FRIED CHICKEN,Bronx,WHITE PLAINS ROAD,10470,A
50063916,BOSNA EXPRESS,Queens,FAIRVIEW AVENUE,11385,A
41418437,FORT DEFIANCE,Brooklyn,VAN BRUNT STREET,11231,B
41311922,HAPPY FRESH TORTILLA GRILL,Brooklyn,7 AVENUE,11215,A
50094703,SUSPENDERS,Manhattan,GREENWICH STREET,10006,A
40395505,PORTO PRINCE STAR RESTAURANT,Queens,LINDEN BOULEVARD,11411,B
50011150,GUERRERO'S GROCERY & DELI,Brooklyn,AVENUE U,11223,A
41554263,POPEYES,Queens,HILLSIDE AVENUE,11423,A
50053533,VIP GRILL,Brooklyn,13 AVENUE,11218,A
50070543,CLARO,Brooklyn,3 AVENUE,11215,A
50037167,SOFRITO,Manhattan,RIVERSIDE DRIVE,10031,A
50084878,HUNAN WEST,Brooklyn,STRICKLAND AVENUE,11234,A
50001842,AMAZE,Manhattan,EAST   58 STREET,10022,C
41211622,MCDONALD'S,Manhattan,BROADWAY,10025,A
50018562,BURGER TIME,Bronx,MORRIS PARK AVENUE,10461,A
40814843,TRUFA RESTAURANT,Manhattan,BROADWAY,10031,B
50001732,KING WOK,Queens,FRANCIS LEWIS BOULEVARD,11358,A
41468724,CHINA WANG RESTAURANT,Bronx,WEST 225 STREET,10463,A
50074936,SABAI,Manhattan,PARK AVENUE SOUTH,10016,A
50040533,CHELSEA CREAMLINE,Manhattan,9 AVENUE,10011,B
40813690,SILVER MOON BAKERY,Manhattan,BROADWAY,10025,A
40366425,NAOMI KOSHER PIZZA,Queens,MAIN STREET,11367,A
41591436,RESORTS WORLD CASINO GROUND LEVEL ( EMPLOYEE DINING),Queens,ROCKAWAY BOULEVARD,11420,A
41273144,LA COLOMBE TORREFACTION,Manhattan,CHURCH STREET,10013,A
40838693,BUBBY'S,Manhattan,HUDSON STREET,10013,A
50054609,CHINA WOK III,Bronx,WEBSTER AVE,10458,A
50060086,QDOBA MEXICAN EATS,Staten Island,WOODROW ROAD,10309,A
50017309,BREAD & BUTTER,Manhattan,PARK AVENUE SOUTH,10016,B
41722445,MIDNIGHTS,Brooklyn,NORTH    6 STREET,11249,A
50001063,PENNYLANE COFFEE,Manhattan,EAST   45 STREET,10017,A
41683734,DUNKIN DONUTS,Queens,KISSENA BOULEVARD,11355,A
41572874,SOMETHING'S COOKING CATERING,Queens,39 AVENUE,11101,A
41653951,MARIA'S MEXICAN RESTAURANT,Brooklyn,CONEY ISLAND AVENUE,11230,P
50112304,DUTCH POT CARIBBEAN GRILL,Queens,165TH ST,11433,A
41396660,NATHAN'S FAMOUS (STAND 312),Bronx,EAST  161 STREET,10451,A
40678995,TANDOORI FOOD & BAKERY,Queens,63 ROAD,11374,B
50017147,HARRY'S DELI,Queens,LA GUARDIA AIRPORT,11369,A
50001172,POPEYES,Queens,FARMERS BOULEVARD,11412,A
50075350,PRIK THAI KITHCEN,Queens,30 AVENUE,11103,A
41721343,COFFEE SHOP DINER,Manhattan,EAST   14 STREET,10009,B
50003233,HAPPY WOK,Manhattan,AVENUE C,10009,A
50076770,CHEF TORIBIO RESTAURANT,Brooklyn,WILSON AVENUE,11221,A
50076337,ANEMOS,Queens,34TH AVE,11101,B
40927513,ISLA OF VERDE CAFE,Bronx,WESTCHESTER AVENUE,10472,A
50046987,PANADERIA MELISSA BAKERY,Brooklyn,5 AVENUE,11220,A
